SR NO,WORD,MEANING,BREIF,VERB,NOUN,ADJECTIVE,DETERMINER,ADVERB,PRONOUN,PERPOSITION,CONJUNCTION,INTERJECTION
226,succinctly,with concise and precise brevity; to the point,"To say something succinctly is to say it briefly, fitting your points into one concise statement. It's a talent rarely enjoyed and much appreciated.  You succinctly stated your case and sat down to great applause, not to mention great relief.",,,,,with concise and precise brevity; to the point,,,,,
227,tandem,an arrangement of objects or persons one behind another,"Tandem describes an arrangement where people or animals are in formation, one behind the other. Couples attached at the hip sometimes like to ride tandem bicycles, which allow two people to pedal the same bike. How cute.",,a bicycle with two sets of pedals and two seats,,,one behind the other,,,,,
228,unbridled,not restrained or controlled,"Unbridled means unrestrained. When you find out that you just won the lottery, feel free to jump up and down with unbridled joy. Go ahead, most people would probably let loose in the same way.",,,not restrained or controlled,,,,,,,
229,maudlin,very sentimental or emotional,"You can use maudlin to describe something that brings tears to your eyes, or makes you feel very emotional. Tearjerkers like ""Forrest Gump"" and ""Titanic"" can be described as maudlin.",,,effusively or insincerely emotional,,,,,,,
230,wheedle,"influence or urge by gentle urging, caressing, or flattering","To wheedle is to sweet talk, or flatter someone in the hopes of getting something in return. You might try to wheedle a meter maid into not giving you a parking ticket. Good luck with that.","influence or urge by gentle urging, caressing, or flattering",,,,,,,,,
231,amelioration,the act of relieving ills and changing for the better,Amelioration is a process that makes something better. A philanthropist might devote her life to the amelioration of poverty and hunger.,,the act of relieving ills and changing for the better,,,,,,,,
232,brood,"hang over, as of something threatening, dark, or menacing","A brood is a group of young born at the same time — like a brood of chicks — but your parents might use the word for you and your siblings: ""We're taking the whole brood to the movies tonight.""",sit on (eggs),the young of an animal cared for at one time,,,,,,,,
233,whimsy,an odd or fanciful or capricious idea,"Whimsy is what a person who's a dreamer and out of step with the real world might have lots of. People who are full of whimsy are odd, but often fanciful and lovely, like Harry Potter's friend Luna Lovegood.",,the trait of acting unpredictably and more from whim or caprice than from reason or judgment,,,,,,,,
,,,,,an odd or fanciful or capricious idea,,,,,,,,
234,chatoyant,varying in color when seen in different lights or from different angles,,,,varying in color when seen in different lights or from different angles,,,,,,,
235,conflate,mix together different elements,"Conflate is a more formal way to say ""mix together,"" and it's typically used for texts or ideas. You probably wouldn't say you conflated the ingredients for a cake, but if you blended two different stories together to make a new one, conflate would work.",mistake one thing for another,,,,,,,,,
,,,,mix together different elements,,,,,,,,,
236,hark back,go back to something earlier,,go back to something earlier,,,,,,,,,
237,besiege,surround so as to force to give up,"To besiege means to attack with an army, or to pester with many requests. When all your teachers ask you to hand in assignments on the same day, you can end up feeling besieged.",cause to feel distressed or worried,,,,,,,,,
,,,,surround so as to force to give up,,,,,,,,,
,,,,"harass, as with questions or requests",,,,,,,,,
238,apprehend,anticipate with dread or anxiety,"To apprehend is to capture or arrest, as when the police try to apprehend criminals and bring them to justice. You also apprehend a concept when you understand it, grasping or capturing its meaning.",take into custody,,,,,,,,,
,,,,anticipate with dread or anxiety,,,,,,,,,
,,,,understand or perceive the meaning of something,,,,,,,,,
239,imperative,requiring attention or action,"When something absolutely has to be done and cannot be put off, use the adjective imperative.",,a mood that expresses an intention to influence the listener's behavior,relating to verbs in the imperative mood,,,,,,,
,,,,,some duty that is essential and urgent,requiring attention or action,,,,,,,
240,compel,force somebody to do something,"Compel means to force or drive someone to do something. Even if you don't like toast, when you visit the toast-eating natives of Shrintakook Island, you'll be compelled to eat it, or they will not trust you.",necessitate or exact,,,,,,,,,
,,,,force somebody to do something,,,,,,,,,
241,fortify,make strong or stronger,"If you add nutrients to something you fortify it. Food scientists have found ways to fortify cereal, but in addition to vitamins C and D, they usually add a lot of sugar.",prepare oneself for a military confrontation,,,,,,,,,
,,,,make strong or stronger,,,,,,,,,
,,,,add nutrients to,,,,,,,,,
,,,,add alcohol to (beverages),,,,,,,,,
242,entail,have as a logical consequence,"To entail is to involve. A job at a movie theater might entail sweeping popcorn off the floor, probably because watching a movie entails eating popcorn in the dark. It’s a small price to pay!",limit the inheritance of property to a specific class of heirs,the act of entailing property; the creation of a fee tail from a fee simple,,,,,,,,
,,,,have as a logical consequence,land received by fee tail,,,,,,,,
243,prudent,marked by sound judgment,"Describe an action as prudent if it is the wise thing to do under the existing circumstances. If you're getting in trouble, it is probably prudent to keep your mouth closed and just listen.",,,careful and sensible; marked by sound judgment,,,,,,,
244,pertain,be relevant to,"To pertain is to be relevant or somehow associated with something.  If you're a lawyer, you try to find evidence that will pertain to the case and eliminate anything that is not connected.",be a part or attribute of,,,,,,,,,
,,,,be relevant to,,,,,,,,,
245,fraught,filled with or attended with,"Fraught means filled with something — often something bad. Your Thanksgiving was fraught with awkward moments when your family saw your blue hair, and it only got worse when you told them you'd quit law school to join the circus.",,,marked by distress,,,,,,,
,,,,,,filled with or attended with,,,,,,,
246,bestow,give as a gift,"When you present an honor or a gift to someone, you bestow it, which is the same as giving it, but often classier and more respectful.",bestow a quality on,,,,,,,,,
,,,,give as a gift,,,,,,,,,
,,,,present,,,,,,,,,
247,emphatic,spoken with particular stress,Emphatic means forceful and clear. Nicole's mother was emphatic when she told her not to come home late again.,,,forceful and definite in expression or action,,,,,,,
,,,,,,spoken with emphasis,,,,,,,
,,,,,,sudden and strong,,,,,,,
248,preach,deliver a sermon,"To preach is to deliver a sermon or an otherwise powerful message. You may go to church to hear the minister preach, and you may preach tolerance to your friends.","speak, plead, or argue in favor of",,,,,,,,,
,,,,deliver a sermon,,,,,,,,,
249,endeavor,attempt by employing effort,"When you endeavor to do something, you try hard to make it happen. A determined student might endeavor to get straight As on her report card.",attempt by employing effort,a purposeful or industrious undertaking (especially one that requires effort or boldness),,,,,,,,
,,,,attempt by employing effort,earnest and conscientious activity intended to do or accomplish something,,,,,,,,
250,precedent,an example that is used to justify similar occurrences,"A precedent is something that sets a standard for future events. It's hard to say what the legal community would do without the word precedent, since so many legal judgments and decisions are based on what came before.",,a subject mentioned earlier (preceding in time),"preceding in time, order, or significance",,,,,,,
251,gratify,make happy or satisfied,"To gratify is to satisfy. Bringing home an A in math would gratify your math tutor. 
Gratify can also mean to give in. You probably shouldn't gratify your urge to scream in class.",yield (to); give satisfaction to,,,,,,,,,
,,,,make happy or satisfied,,,,,,,,,
252,drudgery,"hard, monotonous, routine work","If you’ve ever had to do the laundry, wash the dishes, make the meals, change the bedding, vacuum the house, and clean the bathrooms day after day, you’ve experienced drudgery. Drudgery is hard, mindless, backbreaking work.",,hard monotonous routine work,,,,,,,,
253,autochthonous,originating where it is found,"Use the adjective autochthonous to say that something is native to an area. If kane toads originated in your area, then they’re an autochthonous species.",,,"of rocks, deposits, etc.; found where they and their constituents were formed",,,,,,,
,,,,,,originating where it is found,,,,,,,
254,satiate,fill to satisfaction,"If you just can't get enough popcorn, even the jumbo tub at the movie theater may not be enough to satiate, or satisfy, your desire.",overeat or eat immodestly; make a pig of oneself,,supplied (especially fed) to satisfaction,,,,,,,
255,clique,an exclusive circle of people with a common purpose,"A clique is an exclusive group of people or friends. Before Rudolph pulled Santa's sled through the fog, the clique of flying reindeer never let him play their reindeer games.",,an exclusive circle of people with a common purpose,,,,,,,,
256,befuddle,be confusing or perplexing to,"To befuddle is to confuse. A sticky exam question can befuddle you, or an awkward question about your whereabouts the night before (how can you remember? You were befuddled, after all.)",make stupid with alcohol,,,,,,,,,
,,,,be confusing or perplexing to; cause to be unable to think clearly,,,,,,,,,
257,coadjutor,an assistant to a bishop,,,an assistant to a bishop,,,,,,,,
258,onslaught,an offensive against an enemy,"Onslaught is a military term that refers to an attack against an enemy. It's safe to say that no one wants to be caught on the receiving end of an onslaught, because there will be lots of danger, destruction and probably death.",,the rapid and continuous delivery of linguistic communication (spoken or written),,,,,,,,
,,,,,(military) an offensive against an enemy (using weapons),,,,,,,,
,,,,,a sudden and severe onset of trouble,,,,,,,,
259,treason,a crime that undermines the offender's government,"Hacking your brother’s email account and sharing all his secrets with your mom could be considered an act of personal treason, meaning you have betrayed your brother.",,an act of deliberate betrayal,,,,,,,,
,,,,,a crime that undermines the offender's government,,,,,,,,
,,,,,disloyalty by virtue of subversive behavior,,,,,,,,
260,cognition,the psychological result of perception and reasoning,"Cognition is the act of thinking, perceiving, and understanding. It's cognition that makes it possible for you to learn a foreign language.",,the psychological result of perception and learning and reasoning,,,,,,,,
261,cordon,a series of sentinels or posts enclosing some place or thing,That yellow police tape and group of officers encircling the crime scene? That's a kind of cordon — something set up to guard something.,,adornment consisting of an ornamental ribbon or cord,,,,,,,,
,,,,,a series of sentinels or of military posts enclosing or guarding some place or thing,,,,,,,,
,,,,,cord or ribbon worn as an insignia of honor or rank,,,,,,,,
262,procure,get by special effort,"In prison movies, there's always a character who is able to procure all sorts of contraband from the inside — magazines, playing cards, special soap. If you procure something, you get it or bring it about by special effort.",arrange for sexual partners for others,,,,,,,,,
,,,,get by special effort,,,,,,,,,
263,obsolete,no longer in use,"Use the adjective obsolete for something that is out of date. As the Rolling Stones song ""Out of Time"" goes, ""You're obsolete, my baby, my poor old-fashioned baby.""",,,no longer in use,,,,,,,
